Job_Title,Skills,Skills_str
Java Developer,"['android', 'c', 'c++', 'java', 'msaccess', 'oracle', 'sql']","android, c, c++, java, msaccess, oracle, sql"
Java Developer,"['derby', 'eclipseoxygen', 'java', 'mysql', 'oracle', 'putty', 'sonarqube']","derby, eclipseoxygen, java, mysql, oracle, putty, sonarqube"
Data Science Consultant,"['datavisualization', 'machinelearning', 'python', 'r studio', 'tableau']","datavisualization, machinelearning, python, r studio, tableau"
Java Developer,"['hibernate', 'java', 'mongodb', 'mysql', 'spring']","hibernate, java, mongodb, mysql, spring"
Java Developer,"['c', 'c++', 'hibernate', 'j2ee', 'java', 'msoffice', 'mysql', 'postgresql', 'spring']","c, c++, hibernate, j2ee, java, msoffice, mysql, postgresql, spring"
Database Administrator,"['netbackup', 'oraclerdbms', 'rman', 'scom']","netbackup, oraclerdbms, rman, scom"
DevOps Engineer,"['c', 'css', 'hibernate', 'html', 'java', 'javascript', 'jquery', 'mysql', 'plsql', 'python', 'spring', 'sql']","c, css, hibernate, html, java, javascript, jquery, mysql, plsql, python, spring, sql"
Java Developer,"['c', 'c++', 'extjavascript', 'java', 'jsp', 'msaccess', 'msexcel', 'mssql', 'oracle', 'plsql', 'sql']","c, c++, extjavascript, java, jsp, msaccess, msexcel, mssql, oracle, plsql, sql"
Python Developer,"['css', 'django', 'html', 'json', 'logger', 'mongodb', 'mysql', 'python', 'restapi', 'sqlite', 'unix', 'webservices']","css, django, html, json, logger, mongodb, mysql, python, restapi, sqlite, unix, webservices"
Python Developer,"['c++', 'mysql', 'notprovided', 'python']","c++, mysql, notprovided, python"
Machine Learning Engineer Intern,"['aws', 'docker', 'fastapi', 'java', 'javascript', 'mongodb', 'postgresql', 'python', 'pytorch', 'react']","aws, docker, fastapi, java, javascript, mongodb, postgresql, python, pytorch, react"
Python Developer,['python'],python
Network and Security Engineer,['notprovided'],notprovided
Jr. Java Developer,"['java', 'javascript']","java, javascript"
DevOps Engineer,"['c', 'css', 'hibernate', 'html', 'java', 'javascript', 'jquery', 'mysql', 'plsql', 'python', 'spring', 'sql']","c, css, hibernate, html, java, javascript, jquery, mysql, plsql, python, spring, sql"
Advocate,"['windows', 'wordprocessingsoftware']","windows, wordprocessingsoftware"
Data Science Consultant,"['machinelearning', 'python', 'r studio', 'tableau']","machinelearning, python, r studio, tableau"
DevOps Engineer,"['aws', 'c', 'css', 'hibernate', 'html', 'java', 'javascript', 'jquery', 'mysql', 'plsql', 'python', 'spring', 'sql', 'unknown']","aws, c, css, hibernate, html, java, javascript, jquery, mysql, plsql, python, spring, sql, unknown"
Python Developer,['python'],python
Java Developer,"['android', 'c', 'c++', 'java', 'msaccess', 'oracle', 'sql']","android, c, c++, java, msaccess, oracle, sql"
Java Developer,"['html', 'j2ee', 'java', 'mysql', 'shellscripting', 'swift']","html, j2ee, java, mysql, shellscripting, swift"
Python RESTful API Developer,"['django', 'flask', 'java', 'mongodb', 'mysql', 'pivotalcloudfoundry', 'postgresql', 'python', 'rpg400']","django, flask, java, mongodb, mysql, pivotalcloudfoundry, postgresql, python, rpg400"
Java Developer,"['hibernate', 'java', 'mysql', 'spring']","hibernate, java, mysql, spring"
Devops Engineer,"['c', 'java', 'unknown']","c, java, unknown"
Python Developer,"['c', 'c++', 'mysql', 'notprovided', 'numpy', 'python', 'tensorflow']","c, c++, mysql, notprovided, numpy, python, tensorflow"
Cloud Operations Architect (DevOps),"['aws', 'azure', 'notprovided', 'python', 'shellscripting']","aws, azure, notprovided, python, shellscripting"
Python Developer,"['django', 'mysql', 'python']","django, mysql, python"
Senior Business Analyst - RPA,['sql'],sql
Machine Learning Engineer Intern,"['aws', 'docker', 'fastapi', 'java', 'javascript', 'mongodb', 'postgresql', 'python', 'pytorch', 'react']","aws, docker, fastapi, java, javascript, mongodb, postgresql, python, pytorch, react"
Java Developer,"['azurewebservices', 'azurewebsuntechnologiesservices', 'hibernate', 'java', 'javascript', 'jdbc', 'mssql', 'mysql', 'oracle', 'php', 'springmvc']","azurewebservices, azurewebsuntechnologiesservices, hibernate, java, javascript, jdbc, mssql, mysql, oracle, php, springmvc"
Java Developer,"['hibernate', 'java', 'mongodb', 'mysql', 'spring']","hibernate, java, mongodb, mysql, spring"
Data Scientist,"['aws', 'keras', 'machinelearning', 'python', 'scipy', 'sklearn', 'statsmodels']","aws, keras, machinelearning, python, scipy, sklearn, statsmodels"
Java Developer,"['derby', 'eclipseoxygen', 'java', 'mysql', 'oracle', 'putty', 'sonarqube']","derby, eclipseoxygen, java, mysql, oracle, putty, sonarqube"
Java Developer,"['angularjs', 'ionic3', 'j2ee', 'java', 'mssql', 'mysql', 'springmvc']","angularjs, ionic3, j2ee, java, mssql, mysql, springmvc"
DevOps Engineer,"['aws', 'c', 'css', 'hibernate', 'html', 'java', 'javascript', 'jquery', 'mysql', 'plsql', 'python', 'spring', 'sql', 'unknown']","aws, c, css, hibernate, html, java, javascript, jquery, mysql, plsql, python, spring, sql, unknown"
Java Developer,"['java', 'jsp', 'mysql', 'servlet', 'springboot']","java, jsp, mysql, servlet, springboot"
SAP Technical Architect,"['fiori', 'odata', 'sapabap', 'sapnetweavergateway']","fiori, odata, sapabap, sapnetweavergateway"
Machine Learning Engineer Intern,"['aws', 'docker', 'fastapi', 'java', 'javascript', 'mongodb', 'postgresql', 'python', 'pytorch', 'react']","aws, docker, fastapi, java, javascript, mongodb, postgresql, python, pytorch, react"
Java Web Developer,"['hibernate', 'java', 'javascript', 'spring', 'struts']","hibernate, java, javascript, spring, struts"
Data Scientist,"['aws', 'keras', 'machinelearning', 'python', 'scipy', 'sklearn', 'statsmodels']","aws, keras, machinelearning, python, scipy, sklearn, statsmodels"
Jr. Java Developer,"['java', 'javascript']","java, javascript"
Java Developer,"['c', 'c++', 'ds', 'hibernate', 'java', 'javaj2ee', 'jdbc']","c, c++, ds, hibernate, java, javaj2ee, jdbc"
Java Developer,"['hibernate', 'java', 'mysql', 'spring']","hibernate, java, mysql, spring"
Devops Engineer,"['c', 'java', 'unknown']","c, java, unknown"
Java Developer,"['c', 'c++', 'hibernate', 'java', 'jsp', 'mysql', 'oracle10g', 'oracle9i', 'servlets', 'sql']","c, c++, hibernate, java, jsp, mysql, oracle10g, oracle9i, servlets, sql"
Python Developer,"['django', 'djangorestapiframework', 'github', 'jira', 'mongodb', 'mysql', 'oracle', 'python', 'sqlite']","django, djangorestapiframework, github, jira, mongodb, mysql, oracle, python, sqlite"
Devops Engineer,"['c', 'java', 'unknown']","c, java, unknown"
Python Developer,['python'],python
DevOps Engineer,"['aws', 'c', 'hibernate', 'java', 'javascript', 'mysql', 'python', 'spring', 'sql']","aws, c, hibernate, java, javascript, mysql, python, spring, sql"
Java Developer,"['hibernate', 'java', 'mongodb', 'mysql', 'spring']","hibernate, java, mongodb, mysql, spring"
Python Developer/analyst,"['c', 'c++', 'django', 'html', 'java', 'mysql', 'python', 'unknown']","c, c++, django, html, java, mysql, python, unknown"
Java Developer,"['android', 'c', 'c++', 'java', 'msaccess', 'oracle', 'sql']","android, c, c++, java, msaccess, oracle, sql"
Java Developer,"['html', 'hudson', 'j2ee', 'java', 'jenkins', 'mysql', 'shellscripting', 'svn', 'swift', 'weblogic12c']","html, hudson, j2ee, java, jenkins, mysql, shellscripting, svn, swift, weblogic12c"
Cloud Operations Architect (DevOps),"['aws', 'azure', 'notprovided', 'python', 'shellscripting']","aws, azure, notprovided, python, shellscripting"
Python Developer,"['c++', 'mysql', 'notprovided', 'python']","c++, mysql, notprovided, python"
Cloud Operations Architect (DevOps),"['aws', 'azure', 'notprovided', 'python', 'shellscripting']","aws, azure, notprovided, python, shellscripting"
Data Scientist,"['aws', 'keras', 'machinelearning', 'python', 'scipy', 'sklearn', 'statsmodels']","aws, keras, machinelearning, python, scipy, sklearn, statsmodels"
Java Developer,"['derby', 'eclipseoxygen', 'java', 'mysql', 'oracle', 'putty', 'sonarqube']","derby, eclipseoxygen, java, mysql, oracle, putty, sonarqube"
Devops Engineer,"['c', 'java', 'unknown']","c, java, unknown"
Python Developer,"['c++', 'mysql', 'notprovided', 'python']","c++, mysql, notprovided, python"
Java Developer,"['c', 'c++', 'hibernate', 'java', 'mysql', 'oracle10g', 'oracle9i', 'spring', 'sql']","c, c++, hibernate, java, mysql, oracle10g, oracle9i, spring, sql"
Java Developer,"['java', 'jsp', 'mysql', 'servlet', 'springboot']","java, jsp, mysql, servlet, springboot"
Python Developer,"['django', 'mysql', 'python']","django, mysql, python"
Senior Business Analyst - RPA,['sql'],sql
Java Developer,"['c', 'c++', 'hibernate', 'j2ee', 'msoffice', 'mysql', 'postgresql', 'spring']","c, c++, hibernate, j2ee, msoffice, mysql, postgresql, spring"
Senior Business Analyst - RPA,['sql'],sql
Java Developer,"['hibernate', 'java', 'mysql', 'notprovided', 'spring']","hibernate, java, mysql, notprovided, spring"
DevOps Engineer,"['c', 'css', 'hibernate', 'html', 'java', 'javascript', 'jquery', 'mysql', 'plsql', 'python', 'spring', 'sql']","c, css, hibernate, html, java, javascript, jquery, mysql, plsql, python, spring, sql"
Java Developer,"['angularjs', 'azurewebservices', 'ionic3', 'j2ee', 'java', 'mssql', 'mysql', 'oracle', 'springmvc', 'struts']","angularjs, azurewebservices, ionic3, j2ee, java, mssql, mysql, oracle, springmvc, struts"
Python Developer/analyst,"['django', 'html', 'mysql', 'notprovided', 'python']","django, html, mysql, notprovided, python"
Devops Engineer,"['c', 'java', 'notprovided']","c, java, notprovided"
DevOps Engineer,"['aws', 'c', 'css', 'hibernate', 'html', 'java', 'javascript', 'jquery', 'mysql', 'notprovided', 'plsql', 'python', 'spring', 'sql']","aws, c, css, hibernate, html, java, javascript, jquery, mysql, notprovided, plsql, python, spring, sql"
Devops Engineer,"['c', 'java', 'unknown']","c, java, unknown"
Java Web Developer,"['hibernate', 'java', 'javascript', 'spring', 'struts']","hibernate, java, javascript, spring, struts"
Python Developer,"['css', 'django', 'html', 'json', 'logger', 'mongodb', 'mysql', 'python', 'restapi', 'sqlite', 'unix', 'unknown', 'webservices']","css, django, html, json, logger, mongodb, mysql, python, restapi, sqlite, unix, unknown, webservices"
Python Developer,"['database', 'django', 'html', 'mysql', 'python', 'restapi']","database, django, html, mysql, python, restapi"
Java Developer,"['derby', 'eclipseoxygen', 'java', 'mysql', 'oracle', 'putty', 'sonarqube']","derby, eclipseoxygen, java, mysql, oracle, putty, sonarqube"
Cloud Operations Architect (DevOps),"['aws', 'azure', 'notprovided', 'python', 'shellscripting']","aws, azure, notprovided, python, shellscripting"
Python Developer,"['c++', 'mysql', 'numpy', 'python', 'tensorflow']","c++, mysql, numpy, python, tensorflow"
Java Developer,"['android', 'c', 'c++', 'java', 'msaccess', 'oracle', 'sql']","android, c, c++, java, msaccess, oracle, sql"
Java Web Developer,"['hibernate', 'java', 'javascript', 'spring', 'struts']","hibernate, java, javascript, spring, struts"
Java Developer,"['ajax', 'c', 'c++', 'ds', 'hibernate', 'java', 'javaj2ee', 'javascript', 'jdbc', 'jquery']","ajax, c, c++, ds, hibernate, java, javaj2ee, javascript, jdbc, jquery"
DevOps Engineer,"['aws', 'c', 'hibernate', 'java', 'mysql', 'spring', 'sql']","aws, c, hibernate, java, mysql, spring, sql"
Python RESTful API Developer,"['db2400', 'django', 'flask', 'java', 'mongodb', 'mysql', 'pivotalcloudfoundry', 'postgresql', 'python', 'rpg400']","db2400, django, flask, java, mongodb, mysql, pivotalcloudfoundry, postgresql, python, rpg400"
Python RESTful API developer,"['as400', 'flask', 'mongodb', 'mysql', 'python']","as400, flask, mongodb, mysql, python"
Java Developer,"['bootstrap', 'c', 'c++', 'extjavascript', 'java', 'jsp', 'msaccess', 'msexcel', 'mssql', 'oracle', 'plsql', 'sql']","bootstrap, c, c++, extjavascript, java, jsp, msaccess, msexcel, mssql, oracle, plsql, sql"
Java Developer,"['c', 'c++', 'hibernate', 'j2ee', 'msoffice', 'mysql', 'postgresql', 'spring']","c, c++, hibernate, j2ee, msoffice, mysql, postgresql, spring"
Python Developer/analyst,"['django', 'html', 'java', 'mysql', 'notprovided', 'python']","django, html, java, mysql, notprovided, python"
Adjunct Faculty & Data Scientist,"['hadoop', 'ibmbluemix', 'python', 'spark']","hadoop, ibmbluemix, python, spark"
Jr. Java Developer,"['c++', 'eclipse', 'java', 'jenkins', 'postman', 'seleniumwebdriver', 'sql', 'testng']","c++, eclipse, java, jenkins, postman, seleniumwebdriver, sql, testng"
Python Developer/analyst,"['django', 'html', 'mysql', 'python', 'unknown']","django, html, mysql, python, unknown"
Java Developer,"['ajax', 'angularjs', 'html', 'ionic3', 'j2ee', 'java', 'mssql', 'mysql', 'notprovided', 'oracle', 'spring', 'springmvc']","ajax, angularjs, html, ionic3, j2ee, java, mssql, mysql, notprovided, oracle, spring, springmvc"
Machine Learning Engineer Intern,"['aws', 'docker', 'fastapi', 'java', 'javascript', 'mongodb', 'postgresql', 'python', 'pytorch', 'react']","aws, docker, fastapi, java, javascript, mongodb, postgresql, python, pytorch, react"
Java Developer,"['java', 'jsp', 'mysql', 'servlet', 'springboot']","java, jsp, mysql, servlet, springboot"
Java Developer,"['html', 'j2ee', 'java', 'mysql', 'shellscripting', 'swift']","html, j2ee, java, mysql, shellscripting, swift"
Python Developer,['python'],python
Jr. Java Developer,"['java', 'javascript']","java, javascript"
Devops Engineer,"['c', 'java', 'unknown']","c, java, unknown"
Python Developer,"['django', 'mysql', 'python', 'restapi']","django, mysql, python, restapi"
Python Developer,"['css', 'django', 'html', 'json', 'logger', 'mongodb', 'mysql', 'python', 'restapi', 'sqlite', 'unix', 'unknown', 'webservices']","css, django, html, json, logger, mongodb, mysql, python, restapi, sqlite, unix, unknown, webservices"
Machine Learning Engineer Intern,"['aws', 'docker', 'fastapi', 'java', 'javascript', 'mongodb', 'postgresql', 'python', 'pytorch', 'react']","aws, docker, fastapi, java, javascript, mongodb, postgresql, python, pytorch, react"
Java Developer,"['java', 'jsp', 'mysql', 'servlet', 'springboot']","java, jsp, mysql, servlet, springboot"
DevOps Engineer,"['aws', 'c', 'css', 'hibernate', 'html', 'java', 'javascript', 'jquery', 'mysql', 'plsql', 'python', 'spring', 'sql', 'unknown']","aws, c, css, hibernate, html, java, javascript, jquery, mysql, plsql, python, spring, sql, unknown"
Python RESTful API developer,"['as400', 'flask', 'mongodb', 'mysql', 'postgresql', 'python']","as400, flask, mongodb, mysql, postgresql, python"
Devops Engineer,"['c', 'java', 'notprovided']","c, java, notprovided"
Java Developer,"['c', 'c++', 'ds', 'hibernate', 'java', 'javaj2ee', 'jdbc']","c, c++, ds, hibernate, java, javaj2ee, jdbc"
Java Developer,"['hibernate', 'java', 'mongodb', 'mysql', 'spring']","hibernate, java, mongodb, mysql, spring"
Java Developer,"['c', 'c++', 'extjavascript', 'java', 'jsp', 'msaccess', 'msexcel', 'mssql', 'oracle', 'plsql', 'sql']","c, c++, extjavascript, java, jsp, msaccess, msexcel, mssql, oracle, plsql, sql"
Python Developer,"['css', 'django', 'html', 'json', 'logger', 'mongodb', 'mysql', 'python', 'restapi', 'sqlite', 'unix', 'unknown', 'webservices']","css, django, html, json, logger, mongodb, mysql, python, restapi, sqlite, unix, unknown, webservices"
Java Developer,"['angularjs', 'ionic3', 'j2ee', 'java', 'mssql', 'mysql', 'springmvc']","angularjs, ionic3, j2ee, java, mssql, mysql, springmvc"
Java Web Developer,"['hibernate', 'java', 'javascript', 'spring', 'struts']","hibernate, java, javascript, spring, struts"
Java Developer,"['c', 'c++', 'hibernate', 'j2ee', 'msoffice', 'mysql', 'postgresql', 'spring']","c, c++, hibernate, j2ee, msoffice, mysql, postgresql, spring"
Java Developer,"['bootstrap', 'c', 'c++', 'extjavascript', 'java', 'jsp', 'msaccess', 'msexcel', 'mssql', 'oracle', 'plsql', 'sql']","bootstrap, c, c++, extjavascript, java, jsp, msaccess, msexcel, mssql, oracle, plsql, sql"
Jr. Java Developer,"['java', 'javascript']","java, javascript"
Network Security Engineer,['notprovided'],notprovided
Java Developer,"['html', 'javaj2ee', 'mysql', 'notprovided', 'shellscripting', 'swift']","html, javaj2ee, mysql, notprovided, shellscripting, swift"
DevOps Engineer,"['aws', 'c', 'css', 'hibernate', 'html', 'java', 'javascript', 'jquery', 'mysql', 'notprovided', 'plsql', 'python', 'spring', 'sql']","aws, c, css, hibernate, html, java, javascript, jquery, mysql, notprovided, plsql, python, spring, sql"
Senior Business Analyst - RPA,['sql'],sql
Java Web Developer,"['hibernate', 'java', 'javascript', 'spring', 'struts']","hibernate, java, javascript, spring, struts"
SAP Technical Architect,"['fiori', 'odata', 'sapabap', 'sapnetweavergateway']","fiori, odata, sapabap, sapnetweavergateway"
Python Developer,"['django', 'mysql', 'python']","django, mysql, python"
Java Developer,"['c', 'c++', 'ds', 'hibernate', 'java', 'javaj2ee', 'jdbc']","c, c++, ds, hibernate, java, javaj2ee, jdbc"
Java Developer,"['c', 'c++', 'ds', 'hibernate', 'java', 'javaj2ee', 'jdbc']","c, c++, ds, hibernate, java, javaj2ee, jdbc"
Java Developer,"['android', 'c', 'c++', 'hibernate', 'java', 'msaccess', 'oracle', 'spring', 'sql']","android, c, c++, hibernate, java, msaccess, oracle, spring, sql"
Java Developer,"['angularjs', 'azurewebservices', 'ionic3', 'j2ee', 'java', 'mssql', 'mysql', 'oracle', 'springmvc', 'struts']","angularjs, azurewebservices, ionic3, j2ee, java, mssql, mysql, oracle, springmvc, struts"
Java Developer,"['java', 'jsp', 'mysql', 'servlet', 'springboot']","java, jsp, mysql, servlet, springboot"
Jr. Java Developer,"['c++', 'eclipse', 'java', 'jenkins', 'postman', 'seleniumwebdriver', 'sql', 'testng']","c++, eclipse, java, jenkins, postman, seleniumwebdriver, sql, testng"
DevOps Engineer,"['aws', 'c', 'css', 'html', 'java', 'javascript', 'jquery', 'mysql', 'notprovided', 'python', 'sql']","aws, c, css, html, java, javascript, jquery, mysql, notprovided, python, sql"
Java Developer,"['c', 'c++', 'hibernate', 'java', 'jsp', 'mysql', 'oracle10g', 'oracle9i', 'servlets', 'sql']","c, c++, hibernate, java, jsp, mysql, oracle10g, oracle9i, servlets, sql"
Python Developer/analyst,"['django', 'html', 'java', 'mysql', 'python', 'unknown']","django, html, java, mysql, python, unknown"
Python RESTful API developer,"['as400', 'flask', 'mongodb', 'mysql', 'python']","as400, flask, mongodb, mysql, python"
Devops Engineer,"['c', 'java', 'unknown']","c, java, unknown"
Devops Engineer,"['c', 'java', 'unknown']","c, java, unknown"
Java Developer,"['hibernate', 'java', 'mongodb', 'mysql', 'spring']","hibernate, java, mongodb, mysql, spring"
Python Developer,"['css', 'django', 'html', 'json', 'logger', 'mongodb', 'mysql', 'python', 'restapi', 'sqlite', 'unix', 'unknown', 'webservices']","css, django, html, json, logger, mongodb, mysql, python, restapi, sqlite, unix, unknown, webservices"
Python Developer,"['django', 'mysql', 'python', 'restapi']","django, mysql, python, restapi"
Java Developer,"['hibernate', 'java', 'jquery', 'mysql', 'spring']","hibernate, java, jquery, mysql, spring"
DevOps Engineer,"['aws', 'c', 'css', 'hibernate', 'html', 'java', 'javascript', 'jquery', 'mysql', 'notprovided', 'plsql', 'python', 'spring', 'sql']","aws, c, css, hibernate, html, java, javascript, jquery, mysql, notprovided, plsql, python, spring, sql"
DevOps Engineer,"['aws', 'c', 'hibernate', 'java', 'mysql', 'spring', 'sql']","aws, c, hibernate, java, mysql, spring, sql"
Python API Developer,"['as400', 'flask', 'mongodb', 'mysql', 'pivotalcloudfoundry', 'python']","as400, flask, mongodb, mysql, pivotalcloudfoundry, python"
Python Developer/analyst,"['django', 'html', 'mysql', 'notprovided', 'python']","django, html, mysql, notprovided, python"
Devops Engineer,"['c', 'java', 'unknown']","c, java, unknown"
Java Developer,"['angularjs', 'apachetomcatserver', 'azurewebservices', 'ionic3', 'j2ee', 'java', 'mssql', 'mysql', 'oracle', 'springmvc', 'struts']","angularjs, apachetomcatserver, azurewebservices, ionic3, j2ee, java, mssql, mysql, oracle, springmvc, struts"
Java Web Developer,"['hibernate', 'java', 'javascript', 'spring', 'struts']","hibernate, java, javascript, spring, struts"
Java Developer,"['html', 'j2ee', 'java', 'mysql', 'shellscripting', 'swift']","html, j2ee, java, mysql, shellscripting, swift"
Java Developer,"['c', 'c++', 'hibernate', 'java', 'jsp', 'mysql', 'oracle10g', 'oracle9i', 'servlets', 'sql']","c, c++, hibernate, java, jsp, mysql, oracle10g, oracle9i, servlets, sql"
Python Developer,['python'],python
Java Developer,"['angularjs', 'ionic3', 'j2ee', 'java', 'mssql', 'mysql', 'springmvc']","angularjs, ionic3, j2ee, java, mssql, mysql, springmvc"
Java Developer,"['angularjs', 'ionic3', 'j2ee', 'java', 'mssql', 'mysql', 'springmvc']","angularjs, ionic3, j2ee, java, mssql, mysql, springmvc"
Python Developer,"['css', 'django', 'html', 'json', 'logger', 'mongodb', 'mysql', 'oracle', 'python', 'restapi', 'sqlite', 'unix', 'unknown', 'webservices']","css, django, html, json, logger, mongodb, mysql, oracle, python, restapi, sqlite, unix, unknown, webservices"
Data Scientist,"['dataanalysis', 'machinelearning', 'notprovided', 'python', 'spark', 'tableau', 'visualization']","dataanalysis, machinelearning, notprovided, python, spark, tableau, visualization"
Jr. Java Developer,"['java', 'javascript']","java, javascript"
Java Developer,"['java', 'mysql', 'spring', 'springboot']","java, mysql, spring, springboot"
Java Developer,"['android', 'c', 'c++', 'java', 'msaccess', 'notprovided', 'oracle', 'sql']","android, c, c++, java, msaccess, notprovided, oracle, sql"
Java Developer,"['derby', 'eclipseoxygen', 'java', 'mysql', 'oracle', 'putty', 'sonarqube']","derby, eclipseoxygen, java, mysql, oracle, putty, sonarqube"
Network Security Engineer,"['firewallandvpnconfiguration', 'networkadministration', 'networksecurity', 'routingandswitching']","firewallandvpnconfiguration, networkadministration, networksecurity, routingandswitching"
Java Developer,"['c', 'c++', 'hibernate', 'j2ee', 'msoffice', 'mysql', 'postgresql', 'spring']","c, c++, hibernate, j2ee, msoffice, mysql, postgresql, spring"
Java Developer,"['c', 'c++', 'extjavascript', 'java', 'jsp', 'msaccess', 'msexcel', 'mssql', 'oracle', 'plsql', 'sql']","c, c++, extjavascript, java, jsp, msaccess, msexcel, mssql, oracle, plsql, sql"
Devops Engineer,"['c', 'java', 'unknown']","c, java, unknown"
Python Developer,"['django', 'flask', 'googlecloud', 'java', 'javascript', 'mysql', 'postgresql', 'python', 'react', 'ruby']","django, flask, googlecloud, java, javascript, mysql, postgresql, python, react, ruby"
